სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
გუჯა არდა,1,,,,,,,,,
გუჯაგაბრიელი,,,,1,,,,,,
გუჯა–გიორგი,,,1,,,,,,,
გუჯი,,,1,,,,,,,
გუჯიკო,,,,,1,,,,1,
გუჰარ,,1,,,,,,,,
დაგირ,,,,,1,,,,,
დაგლას ჯორჯ,,,,,1,,,,,
დაგმარა,1,,,,,,,,,
დადა,,1,1,,1,3,1,,2,1
დადაშ,,,1,,,,1,,,
დადი,,,,1,,,1,,,
დადიკო,,,,1,,,,,,
დადუ,,1,2,,,,,,,1
დადუნა,,1,,,1,1,1,,1,
დავეხი,,,1,,,,,,,
დავი,,,,,1,,,,,
დავიდ,10,26,25,25,26,37,45,55,48,56
დავიდ – ტიმურ,,1,,,,,,,,
დავიდ ენრიკო,,,,,,1,,,,
დავიდ იოახიმ,,,,,,,1,,,
დავიდ იონატან,,,,1,,,,,,
დავიდ ლეონ,,,,,,,,,1,
დავიდი,,1,,1,1,1,1,1,1,3
დავიდ-ჰენიფი,1,,,,,,,,,
დავით,876,923,1015,939,879,792,746,779,638,575
დავით   ჯ,,,,,,,,1,,
დავით  ანდრია,,,,,1,,,,,
დავით  გიორგი,,,,,1,,,,,
დავით ბეგო,,,1,,,,,,,
დავით გაბრიელ,,,1,,1,,,,,
დავით გიორგი,,,,,1,,,,,
დავით გუკა,1,,,,,,,,,
დავით დენიზ,,,,,,1,,,,
დავით ენის,,,1,,,,,,,
დავით თევდორე,,,,,,,,,,1
დავით თეოდორ,,,,1,,,,,,
დავით იოანე,,,,,,,,,1,
დავით ისმაილი,,,,,,1,,,,
დავით მიქაელი,,,,,,1,,,,
დავით მიხეილ,,,,,1,,,,,
დავით ოთო,,,,,,,,,1,
დავით სერდარ,,,,1,,,,,,
დავით სოსლან,,,,,1,,,,,
დავით უტა,,,,,,,,,1,
დავით ჩისომ,,,,1,,,,,,
დავით-ანდრია,,,,,1,,,,,
დავით-დაზმირი,1,,,,,,,,,
დავით-დემეტრე,1,,,,,,,,,
დავით-ემირჯან,1,,,,,,,,,
დავითი,471,525,540,493,445,528,504,476,435,366
დავითი  დადა,,,,1,,,,,,
დავითი გიორგი,,,,,,,1,,,
დავითი ენრიკე,,,,,,1,,,,
დავით-იაკობი,,,,,,,,,,1
დავიტ,,,,,,,,1,,
დავო,,,,,,1,,,,
დავუდ,2,2,2,2,4,2,3,2,4,3
დავუდ რაზი,,,,,,,,,,1
დავუთ,,,,2,1,2,5,,1,2
დავუთი,,,,,1,1,,,1,
დაზმერი,,,,2,,,,,,
დაზმირი,,,,,1,,,,,
დათა,84,77,89,93,109,135,151,146,166,165
დათა ბეგი,,,,,1,,,,,
დათა დავით,,,,,,1,,,,
დათა მერაბ,,,,,1,,,,,
დათა-გიორგი,,,1,,,,,,,
დათა–გიორგი,,,1,,,,,,,
დათაშკა,,,,,,,,,,1
დათი,,1,,2,2,1,3,2,12,5
დათიკო,2,,1,,,,,1,1,
დათო,123,120,99,71,74,65,60,45,28,31
დათო დავითი,,,,,,,,,1,
დათუნა,6,6,4,4,7,9,3,3,4,4
დათუნი,,1,,,,,,,,1
დაიანა,3,7,7,2,9,14,6,14,3,13
დაიანათ,,,,,,,,,1,
დაივა,,,,,,1,,,,
დაისა,,,,,,,,1,,
დაკო,,,3,,1,,1,1,1,2
დალი,22,14,14,13,8,7,8,9,4,5
დალი  ელიზაბეტ,,,,1,,,,,,
დალია,,,,1,,,1,,,
დალიავერონიქ ჩიდერა,,,,,,,,1,,
დალიდა დეა,,,,,,1,,,,
დალიკო,,,,1,,,,,,
დალილა,1,,1,,,1,1,3,1,
დალილე,,,,,,,,1,,
დალინა,,,,,,,,2,1,
დალინა–ელენე,1,,,,,,,,,
დამანვირ კაურ,,,,,,,1,,,
დამეანე,,,,,,,2,,,
დამეი,,,,,,,,1,1,1
დამიან,,,1,,,2,1,1,1,5
დამიანა,,,,,1,,,,,
დამიანე,1,1,2,5,8,5,26,15,35,65
დამიანე თამაზ,,1,,,,,,,,
დამიანე ნიკოლას,,,,,,,,,,1
დამიანი,,,1,,,,1,1,1,1
დამიანნა,,,,,,,,,,1
დამიენ,,,,,,1,,,,3
დამინიკა,,,,,,,1,,,
დამირ,,1,,,,4,1,2,1,1
დამირი,,2,2,,,,,2,,2
დამლა,2,3,,3,4,10,12,12,33,53
დამლა  აიან,,,,1,,,,,,
დან,,,,,,,,,,1
დან იჰონატან,,,,,,,,,,1
დანა,,,1,,,1,,1,,1
დანა ვერა,,,,,1,,,,,
დანაგულ,,,1,,,,,,,
დანაი,,,,,,,1,,1,
დანდი,,,,1,,,,,,
დანელ,1,,,,,,,,,
დანი,1,,1,2,1,,,6,5,3
დანიალ,,,,1,1,,2,2,,1
დანიალი,,,,,,,1,,,
დანიარ,1,,,,,,,,,
დანიელ,46,55,65,57,77,93,162,225,289,325
დანიელ  დენის,,,,,,,1,,,
დანიელ  სებასტიან,,,,,,,,,,1
დანიელ ალექსანდრე,,,,,,1,,,,
დანიელ ალლან,,,,,,,,1,,
დანიელ ბალთაზარ,,,,1,,,,,,
დანიელ ბეჟან,,,,,,,,,,1
დანიელ ბოთან,,,,,,,1,,,
დანიელ გიორგი,,,,,,,1,,,
დანიელ დაჩი,,,,,,1,,,,
დანიელ დუკა,,,,,,,1,,,
დანიელ ვამბო,,,,,,,,,,1
დანიელ ორი,,,,,,,,1,,
დანიელ სარო,,,,,,1,,,,
დანიელ სერჟ,,,,,,,,1,,
დანიელ ულაშ,,,,,,,,,1,
დანიელა,7,3,3,5,5,10,12,10,20,14
დანიელა გვანცა,,,,,,1,,,,
დანიელდენიზ,,,,,,,,,,1
დანიელე,,,1,,,,,,,
დანიელი,23,24,23,32,32,50,65,115,153,258
დანიელი–თეოდორე,,1,,,,,,,,
დანიელლა,,,,1,,1,1,1,1,1
დანიზ,,4,8,8,6,6,5,5,5,7
დანიზა,,,1,,,,,,,
დანიიელ,,,,,,,1,,,
დანიილ,7,5,3,6,7,4,13,7,5,9
დანიილ არმან,,,,,,,,1,,
დანიილა,,,,,,,,1,,
დანიილი,,1,,1,1,,,,,
დანიკო,,,,,,,,,,1
დანილ,,,,,,,3,,,1
დანილა,3,,,1,,3,2,,,1
დანილი,,,,,,,,,1,
დანილო,,,,,,,,1,,1
დანის,1,,1,,1,,,,,
დანნა,,,,,,,1,,,
დანო,,,,,,,,1,,
დანტე,1,1,,1,3,,1,1,3,2
დანჩო,,,,,,,,,1,
დარ,,,,,,,,,1,
დარა იალოდე,,,,,,,,,1,
დარე,,,,,,1,,,,
დარეჯან,7,2,1,5,1,2,4,2,3,
დარეჯანი,1,1,3,4,7,3,1,1,3,
დარეჯანი ანა,,,,,,,,,,1
დარვინ,1,,1,1,,,,,,
დარია,7,3,8,11,7,10,11,20,9,16
დარია ელისაბედ,,,,,,,,1,,
დარია მარია,,,,,,,1,,,
დარიანა,,1,,,,,,,,
დარიანურ,,,,1,,,,,,
დარიი,,,,,,1,,,,
დარიკო,2,3,,4,1,1,2,,,1
დარინა,10,8,13,8,6,4,10,5,7,4
დარიუშ,,,,,1,,,,,
დარო,,,,,,1,1,,,
დარჩო,,1,,,,,1,,,
დარხან,,,,,,,1,,,
დასდაგულ,,,1,,,,,,,1
დასტაგიულ,,,,,,,1,,,
დასტან,,,,,,1,,,,
დაუდ,,,1,1,2,,,1,,
დაუდ იბრაჰიმ,,,,,1,,,,,
დაუდი,,,,,1,,,,1,
დაუთ,,,,2,,,,,,1
დაუთ ემილოღლუ,,,,,,,,,,1
დაუთი,1,,,,,,,,1,
დაუუდ,,,1,,,,,,,
დაფინა,,,,,,,,,1,
დაფნა,,,,,,,,1,1,1
დაღლარ,,,,,1,,,,1,
დაშა,,2,,2,1,1,,2,,
დაშგინ,,,1,,,,,,,
დაშგნა,,,,,,1,,,,
დაშდამირ,,,,,,,1,,,
დაშკინ,1,,,,,,,,,
დაშტამირ,1,,,,,,1,,,
დაჩი,277,386,357,359,356,359,426,597,581,539
დაჩი  დემეტრე,,,,,,1,,,,
დაჩი  ლაზარე,1,,,,,,,,,
დაჩი ავთანდილ,,,,,,1,,,,
დაჩი ალექსანდრე,,,,,,,,1,,
დაჩი გიორგი,,,2,,,1,,,,
დაჩი–გიორგი,1,,,,,,,,,
დაჩი–დემეტრე,1,,,,,,,,,
დაჯი,1,1,,,,,,1,,
დაჯია,,,,1,,,,,,
დაჰანა,,1,,,,,,,,
დაჰინ,1,,,,,,,,,
დეა,57,58,49,75,49,67,69,86,87,90
დეა სიდონია,,1,,,,,,,,
დეაკო,,1,,,,,1,,,
დეან,,,,,,,,1,,
დეანა,,,,,,,,1,,
დეარ,,,,,,,1,,,
დებორა,,,,2,1,,1,1,1,
დეგი,,,3,,1,,,,,
დედე,,,,,,,,,,1
დედიკა,,,,,1,,,,,
დედუკა,1,,,,,,,,,
დევა ნურ,,,,,,,,,1,
დევი,2,5,1,6,1,2,3,,1,
დევია,,,,,1,,,,,
დევიდ,5,4,6,3,8,4,4,6,7,7
დევიდ ალექსანდრ,,1,,,,,,,,
დევიდ ჩამბარლი,,,,,,,,1,,
დევიდ ჯორჯ,,,,,,,,,1,
დევიდა,1,,,,,,,,,
დევიდი,,,,,,,,,1,
დევიდსონი,,,,,,,,1,,
დევიზი,1,,,,,2,,,,
დევიკ ხაჩიკ,,,,,1,,,,,
დევიკა,,,,,,,,,1,
დევიკო,1,,,,,2,,,,
დევინ დიდრიქ,,,,,,,,,,1
დევის,,,1,,,,1,1,,
დევრან,,,1,1,3,4,5,6,1,1
დეივიდ,,,1,,,,1,,,
დეიზი,,,,,,,,1,,
დელი,,,,,,,,1,,
დემა,,,1,,,,,1,,
დემე,1,,4,,,4,,6,2,5
დემეტრა,,,,,,,,,,1
დემეტრე,163,227,421,443,546,745,861,1114,1202,1291
დემეტრე    დუდუ,,,,1,,,,,,
დემეტრე დუდუ,,,,,,1,,1,,
დემეტრე ვიქტორი,,,,,,,,1,,
დემეტრე თამაზ,,,,,,,1,,,
დემეტრე ლუკა,,,,,,,1,,,
დემეტრე ნიკოლოზი,,,,,,,,1,,
დემეტრე ჯარჯი,,,,,,,,,1,
დემეტრე-ელია,,,,1,,,,,,
დემეტრე-ცეზარი,,,,,,1,,,,
დემეტრია,,,,,,,,,1,
დემი,,,,,,,2,,,
დემიან,,,,1,,,1,1,1,
დემიდ,,1,,,,,,,,
დემიენ,,,,,,1,1,1,2,2
დემიკო,1,,1,,,1,,,,
დემირ,,1,,,1,2,,1,1,
დემირი,,,1,,,,1,,,1
დემირქან,,,,,,,,1,,
დემირხან,,,,,,,1,,,
დემის,,,,,,,,1,,
დემნა,6,8,6,8,8,17,22,13,19,42
დემნა  გიორგი,,,,,,,,,1,
დემნა ლეონტი,,,,,,,,1,,
დემნა–ალექსანდრე,,1,,,,,,,,
დემო,,,,,,,,,,1
დემუ,,,,,1,,,,,
დემურ,6,2,5,6,2,4,1,1,2,
დემური,14,8,4,7,5,4,6,1,4,5
დენ,,,,,,,1,,,
დენი,,,1,,,1,1,2,,1
დენიელ,3,3,4,5,5,3,6,3,4,5
დენიელ მოჰამმედ,,,1,,,,,,,
დენიელი,,,,1,,,1,1,,1
დენიზ,4,14,10,11,5,11,11,16,21,37
დენიზ აიდინ,,,,,,,,,1,
დენიზ ალპ,,,,,,,,,,1
დენიზ კემალ,,,,,,,,,1,
დენიზა,,,1,,,,,,,
დენიზგეზმიშ,,,,,,,,1,,
დენიზი,,1,,,,,,,,2
დენილ,,,,,,,1,1,,
დენის,7,10,7,2,5,8,4,7,12,7
დენისა,,,,,,,,,,1
დენისი,,1,1,1,,2,,,,1
დენისხან,,,,,1,,,,,
დენნი,,,,,,,,,1,
დენნის,,,,,,1,,,,
დენორა,,,,,,,1,,,
დეო,,,,,,,,1,,
დერენიკ,,,1,1,,1,,,1,
დერია,,1,2,1,,1,1,2,2,5
დერიანურ,,,,,,,,,1,
დერიკ,,1,,,,,,,,
დერინ,,,,,,,,,1,
დერინმელექ,,,,,,,,1,,
დერო,,,,,1,1,,,,
დესი,,,,,,,1,,,
დესპინა,,,,,,,,,1,
დესპინა ლილე,,1,,,,,,,,
დესპინე,1,,,,,,1,1,,
დესტან ჟან,,,,,,,,,,1
დეფნე,,,,,,,,,3,1
დეფნე სენა,,,,,,,,1,,
დექლენ ჯეიმს,1,,,,,,,,,
დეშდემირა,,,1,,,,,,,
დვინ,,1,,,,,,,,
დვირ,,,,,,,,1,,
დვირ რაჰამიმ,,,,,1,,,,,
დვორა  ლეა,,,,,,1,,,,
დია,1,2,1,,1,1,,1,1,1
დიაგო,1,,,,,,,,,
დიამანტინა,1,,,,,,,,,
დიანა,140,109,102,82,82,71,62,55,46,53
დიანა ნინა,,,,,,,,,,1
დიანისი,1,,,,,,,,,
დიანნა,2,2,,2,3,2,,,1,4
დიანოზ,,,1,,,,,,,
დიარ,,,,,,,,1,,
დიას,1,,,,,,,,1,
დიბა,,,,,,,,,1,
დიგვიჯეი რამაჩანდრა სანდრო,,,,,,1,,,,
დიეგო,14,11,11,6,11,6,6,2,3,1
დივია პეიჯ,,,,,,,,,,1
დიკო,,,,,1,,,,,
დილა,,1,,,,1,2,,,1
დილა მირა,,,,,,,,,1,
დილავადინ,,,,,,,1,,,
დილაი,,,,,1,,,,,
დილაკ,,,1,,,,,,,
დილან,,1,1,3,,,,,2,
დილანა,,,,,,,,1,,
დილაპრუზ,,1,,,,,,,,
დილაპურუზ,,,1,,,,,,,
დილარა,2,1,3,4,1,1,4,4,1,5
დილარა თჰეა,,,,,,,,1,,
დილარე,,,,,,,,1,,
დილარი,,1,,,,,,,,
დილაქ,1,,,,,,1,,,2
დილბაზი,,,,,1,,,,,
დილბარ,6,2,3,2,4,2,3,,,
დილბერ დუჰა,,,,,,,,,,1
დილგამ,,2,,,1,,,,,
დილეკ,,,,,,,1,1,,1
დილექ,,,,,2,2,,,3,3
დილეჩ,1,,,,,,,,,
დილეჰ,,,,,,,,1,,
დილიარა,,,,,,,1,,,
დილმან,,,,,,,,,,1
დილშად,1,,,1,,1,,,,1
დიმა,39,40,37,23,30,23,17,34,26,20
დიმა დემირჰან,,,,1,,,,,,
დიმიტარ დიმიტროვ,,,,,,,,1,,
დიმიტრა,,,,,,,,,,1
დიმიტრი,145,131,120,87,88,104,89,70,47,45
დიმიტრი დორიან,,,,,,,1,,,
დიმიტრიოს,1,,,1,,,,,,
დიმო,,,,,1,,,,,
დინ,,,,,,,1,,1,
დინა,3,8,4,3,11,5,4,9,6,4
დინაი,,,,,,,1,,,
დინარ,3,,3,2,,1,1,4,2,
დინარა,3,7,7,3,6,7,1,1,1,2
დინარტო,,,1,,,,,,,
დინის,,,2,,,,1,,,
დინო,,,,,,,,,1,
დინორი,,,,,,,,1,,
დიოგენ,,,,,,,1,,,
დიოგენი,1,,,,,,,1,,
დიომიდე,,,,,,,1,,,
დიონის,,,,,1,,1,,1,
დიონისე,,,,,,,,2,,1
დიორბექ,,,,,,,,,1,
დიტო,32,21,29,22,22,21,16,9,19,13
დიტო პეტრე,,,,,,,1,,,
დიუკა,,1,,,,,,,,
დიურდანე,,,,,,,,,1,
დიჰან,,,,,,,,,,1
დმიტრი,3,6,3,3,2,5,4,2,4,2
დმიტრიი,,,,,,,,,,1
დობრინია,,1,,,,1,,,,
დოგალ,,,,,,,1,,,
დოგუქან ქენან,,,,1,,,,,,
დოდიკა,,,,,,1,,,,
დოდო,5,2,2,3,1,2,1,,,1
დოდოშკა,1,,,,,,,,,
დოვლათ,,,,,,,1,,,
დოვრან,,1,,,,,,,,
დოიღუ,,,,,,,,,1,
დოლარის,,,,,,1,,,,
დოლუხან,,,,,1,,,,,
დომენიკ,,,,,,,,1,,
დომენიკა,,1,,,,,,,,
დომენიკი,,,,,,,,,,1
დომენტი,,1,1,,,,,1,,
დომინიკ,1,,,,,,,1,1,
დომინიკ ფრიედრიხ,,,,,,,1,,,
დომინიკა,,1,1,,,,,,1,
დომინიკი,,,,,,,,,1,
დომნა,1,,,,1,,,,,1
დონა,,,1,,,,1,,1,
დონათ,,,,,,1,,,,
დონარა,2,,4,2,1,,1,2,,
დონარი,,1,,1,,,,,,
დონგდონგ,,,1,,,,,,,
დონი,,,,,1,,,,,
დონია,,,,,1,,,,,
დორ,,,,,,,1,1,1,
დორ იცხაკ,,,,,,,,,1,
დორ მოშე,,,,,1,,,,,
დორა,,,,1,,,,,,
დორიან,,,,,,,,,1,
დორიან აჯაი,,,,,,,,,1,
დოროთე,1,,,,,,1,,,
დოროთეა,,,,,,,1,1,,
დორუ,,,,,,,,,1,
დორუკ ალექსანდრე,,,1,,,,,,,
დორუქ,,,,,,,,1,,
დოუქან,,,,,,,,,1,
დოღა,,,,,,,1,,,
დჟახანგირ,,,,,,,,1,,
დრუვ,,,,,,1,,,,
დუაიჯ,,,,,,,1,,,
დუგლასი,,,,1,,,,,,
დუდა,1,2,2,,1,1,,4,7,2
დუდა    იოანე,,,,1,,,,,,
დუდანა,,1,2,1,1,,2,,,
დუდუ,5,2,2,3,3,5,2,9,10,1
დუდუ გიორგი,,,1,,,,,1,1,
დუდუ დავით,,,,,,,,,1,
დუიგუ,1,1,4,1,2,,2,1,3,
დუიკუ,,,,,,,,,,1
დუიღუ,,,1,,1,2,,1,1,
დუკა,,,,,1,,,1,1,
დუნია,2,1,2,2,1,,,2,1,1
დუნიაზარ,,,,,,,,1,,
დუნიამალი,,1,1,,1,,,1,1,1
დუნიამინ,,,,,2,,1,,,
დუნიახან,,,,,,,1,,,
დუნიახანუმ,,,,,,1,,,,
დურაი ალექსანდრე,,,,,1,,,,,
დურანბაი,,,,,,,,,,1
დურდანა,1,,1,,,,,,,1
დურდანე,,2,,,,,,,,
დურლუ,,,,1,,,,,,
დურმიშხან,3,1,,,,,1,,,
დურმიშხანი,1,,,1,,,,,,
დურმუშ,,1,,,1,,,,,
დურმუშხან,,,,,,,,1,,
დურნა,1,,,,,,,,,
დურო,,,,,,,1,,,
დურსუნ,3,3,4,3,2,4,5,5,2,2
დურსუნალი,,,,,1,,,,,
დურუ,,,,,,,1,,2,1
დუსია,,,,,1,,,,,
დუტა,6,1,,2,3,1,,,1,
დუტული,,,1,,,,,,,
დუშიკო,,,,,,,1,,,
დუჩა,,,,,,,,,1,
დშხუი,1,,,,,,,,,
ებელფაზ,,,,,,1,,,,
ებელფეზ,,,,,,,,1,3,3
ებელფეზლ,,,,,,,,1,,
ები,,1,,,,,,,2,
ებილფეზ,,,,,,,,,,1
ებრაქსია,,,,,,,1,,,
ებრაჰიმ,,,,,,,,1,,
ებრო,,,1,,1,,,1,,
ებრუ,,4,,3,2,1,2,3,3,4
ებულფეზ,,,,,,,,,1,
ეგანა,1,,,,1,1,,1,,1
ეგანე,,1,1,,,,,,1,
ეგე,,,,,,,3,1,1,
ეგე არჩილ,1,,,,,,,,,
ეგე ბერქ,,,,,,,,,,1
ეგემენ,,,,,,,,,1,
ეგნატე,2,,,,,2,,1,,1
ეგორ,,,,1,,,,,,
ეგორი,1,,,,,,,,,
ეგრისი,,,,,,1,,,,
ეგუდიელი,,,,1,,,,,,
ედა,1,3,5,6,10,12,11,6,5,3
ედან,,,,,,,1,,,
ედანურ,,,1,,,,1,,,
ედგარ,3,12,4,6,9,8,9,3,1,1
ედგარი,,1,,,,1,1,,1,
ედემ,,,,1,,,,,,
ედემი,2,2,2,,,,,1,1,
ედენ,,,,,,1,,,,
ედვარდ,2,6,1,1,2,5,1,2,2,2
ედვარდი,1,,1,2,,,1,1,,
ედვართ,1,,,,,,,,,
ედვარტ,1,,,,,,,,1,
ედვინ,2,1,,2,1,,,1,,
ედვინი,1,,,,,,,,,
ედი,1,,2,3,2,1,1,1,,2
ედიგარ,,,,,1,,,,,
ედიზ,,,,,,,,,,1
ედიკ,7,3,3,3,3,3,4,2,2,
ედიკა,3,4,2,2,3,3,2,,,1
ედიკი,,1,,,,,,,1,
ედილ,,,,,1,,1,,,
ედილია,,,,,,,1,,,
ედინბურა პრაშანთჰ,,,,,,1,,,,
ედიტა,,2,4,1,,,1,,,
ედიქ,,,1,,,1,,1,1,
ედიშერ,2,1,2,1,,1,1,1,,1
ედიშერი,1,2,1,,,,,2,1,1
ედმონ,,1,,,1,1,,1,,
ედმონდ,,,,1,,,,,,
ედმონსი,,,1,,,,,,,
ედნარ,,1,,1,,1,,,,
ედნარი,,,,,,1,,,,1
ედო,,,,,1,2,4,2,2,
ედუ,,,,,,1,,,1,
ედუარდ,22,14,14,13,8,11,10,11,7,9
ედუარდი,2,2,1,1,1,1,2,,2,1
ედუარდო,,,,1,,,,,,
ედუკი,1,,,,,,,,,
ეელი,,,,,,2,,,,
ევა,13,5,25,19,28,36,49,67,235,344
ევა  სედა,,,,,,1,,,,
ევა  სოფია,,,,,,1,,,,
